Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
2222373243l,   -0.00958,   -0.00958,   -0.00319,   -1.00439,   -0.01807,   +0.02100,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222383986l,   -0.00958,   -0.00426,   -0.00426,   -1.00830,   -0.02295,   +0.01465,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222394727l,   -0.01171,   -0.00532,   -0.00106,   -1.01074,   -0.01807,   +0.01904,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222405468l,   -0.01490,   -0.00851,   +0.00106,   -1.01270,   -0.02051,   +0.01221,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222416206l,   -0.01383,   -0.00958,   +0.00319,   -1.00635,   -0.01904,   +0.01123,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222426956l,   -0.01703,   -0.00532,   +0.00319,   -1.00439,   -0.02881,   +0.02051,  -43.45313,  -17.38125,  -16.76250,   +0.00000,   +0.00000;
2222437695l,   -0.01490,   -0.00851,   +0.00319,   -1.00977,   -0.02490,   +0.01855,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222448436l,   -0.01596,   -0.00213,   -0.00106,   -1.01562,   -0.02490,   +0.01465,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222459176l,   -0.01383,   -0.00213,   -0.00106,   -1.01709,   -0.01807,   +0.01855,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222469917l,   -0.01703,   -0.00426,   +0.00213,   -1.00342,   -0.01709,   +0.01074,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222480652l,   -0.01596,   -0.01383,   +0.00319,   -1.01172,   -0.01172,   +0.00830,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222491389l,   -0.01064,   -0.01809,   -0.00213,   -1.01367,   -0.02002,   +0.01465,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222502123l,   -0.01596,   -0.02128,   +0.00213,   -1.01318,   -0.02734,   +0.01221,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222512872l,   -0.01171,   -0.01703,   +0.00532,   -1.01953,   -0.02637,   +0.01074,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222523611l,   -0.01277,   -0.00745,   -0.00213,   -1.01074,   -0.02246,   +0.00781,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222534364l,   -0.01490,   +0.00106,   -0.00639,   -1.00635,   -0.02686,   +0.00732,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222545105l,   -0.01916,   +0.00426,   -0.00106,   -1.01514,   -0.02686,   +0.02051,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222555849l,   -0.02022,   +0.00213,   -0.00426,   -1.01416,   -0.02051,   +0.01855,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222566593l,   -0.01383,   +0.00106,   -0.00106,   -1.00928,   -0.01514,   +0.02148,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222577334l,   -0.01809,   -0.01064,   -0.00745,   -1.00342,   -0.00928,   +0.01514,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222588074l,   -0.01064,   -0.02128,   +0.00106,   -1.00732,   -0.02295,   +0.01367,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222598809l,   -0.01383,   -0.01596,   +0.00000,   -1.02734,   -0.02832,   +0.00977,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222609592l,   -0.01383,   -0.01064,   +0.00106,   -1.00781,   -0.01660,   +0.00537,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222620339l,   -0.01171,   -0.00745,   +0.00426,   -1.01416,   -0.02588,   +0.00879,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222631082l,   -0.01277,   -0.00319,   +0.00106,   -1.01318,   -0.01416,   +0.00586,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222641832l,   -0.01596,   +0.00106,   -0.00213,   -1.01025,   -0.01758,   +0.00342,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222652637l,   -0.01383,   +0.00106,   -0.00639,   -1.02002,   -0.02002,   +0.02588,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222663375l,   -0.01171,   -0.00958,   +0.00106,   -1.01367,   -0.01562,   +0.01562,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222674121l,   -0.01490,   -0.01064,   -0.00639,   -1.01123,   -0.01709,   +0.01953,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222684863l,   -0.01383,   -0.02022,   -0.00319,   -1.00439,   -0.02148,   -0.00049,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222695606l,   -0.01171,   -0.00745,   +0.00106,   -1.01855,   -0.02393,   -0.00244,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222706346l,   -0.01490,   -0.00532,   -0.00106,   -1.00684,   -0.01465,   +0.02148,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222717083l,   -0.02128,   -0.00106,   -0.00213,   -1.00977,   -0.02490,   +0.02637,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222727812l,   -0.01490,   -0.00426,   -0.00319,   -1.01562,   -0.01709,   +0.01807,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222738557l,   -0.01064,   -0.00426,   +0.00000,   -1.01416,   -0.01465,   +0.01465,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222749299l,   -0.01171,   -0.00851,   -0.00213,   -1.00439,   -0.01562,   +0.00244,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222760040l,   -0.01596,   -0.01703,   -0.00106,   -1.01123,   -0.01123,   +0.02881,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222770779l,   -0.01383,   -0.01703,   +0.00319,   -1.00293,   -0.02051,   -0.00342,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222781466l,   -0.01703,   -0.01277,   +0.00319,   -1.00439,   -0.02783,   +0.00391,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222792144l,   -0.01064,   -0.01277,   -0.00319,   -1.01074,   -0.02979,   +0.00879,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222802881l,   -0.01703,   -0.00000,   +0.00000,   -1.01025,   -0.01514,   +0.00537,  -43.99629,  -17.56231,  -16.93711,   +0.00000,   +0.00000;
2222813558l,   -0.01490,   +0.00319,   -0.00213,   -1.01514,   -0.01709,   +0.00439,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222824186l,   -0.01383,   +0.00319,   -0.00426,   -1.01465,   -0.01807,   +0.01416,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222834859l,   -0.01277,   +0.00106,   -0.00213,   -1.00830,   -0.02100,   +0.01611,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222845538l,   -0.01596,   -0.00745,   -0.00532,   -1.01221,   -0.02246,   +0.01660,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222856209l,   -0.01596,   -0.01064,   -0.00319,   -1.00830,   -0.01855,   +0.00732,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222866890l,   -0.01171,   -0.01490,   -0.00106,   -1.00098,   -0.01562,   +0.01904,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222877567l,   -0.01277,   -0.01277,   +0.00000,   -1.01221,   -0.01465,   +0.01416,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222888241l,   -0.01703,   -0.00106,   -0.00106,   -1.00928,   -0.02246,   +0.02539,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222898915l,   -0.01596,   -0.00319,   +0.00213,   -1.01562,   -0.02930,   +0.01367,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2222909671l,   -0.01916,   -0.00319,   +0.00106,   -1.01367,   -0.02197,   +0.01953,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
