Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
 254473080l,   -0.00319,   -0.00426,   -0.01596,   -0.02246,   +0.02832,   +1.02002,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254483690l,   -0.01064,   -0.00958,   -0.00958,   -0.00879,   +0.01904,   +1.02490,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254494298l,   -0.01809,   -0.01064,   -0.01064,   -0.01904,   +0.02783,   +1.03027,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254504881l,   -0.02448,   -0.00745,   -0.00851,   -0.02393,   +0.03369,   +1.03174,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254515443l,   -0.02022,   -0.00319,   -0.00851,   -0.02393,   +0.03906,   +1.02637,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254526022l,   -0.00426,   -0.00745,   -0.01171,   -0.01514,   +0.04492,   +1.01562,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254536607l,   -0.00000,   -0.00958,   -0.01171,   -0.01562,   +0.02148,   +1.02148,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254547199l,   -0.01277,   -0.01277,   -0.01064,   -0.01660,   +0.02686,   +1.03760,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254557779l,   -0.02448,   -0.00532,   -0.00745,   -0.01807,   +0.02490,   +1.03320,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254568361l,   -0.02661,   -0.00213,   -0.00639,   -0.02295,   +0.03564,   +1.02197,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254578939l,   -0.00639,   -0.00745,   -0.00639,   -0.01660,   +0.03516,   +1.01807,  -15.02754,  -27.33926,  +35.44571,   +0.00000,   +0.00000;
 254589523l,   +0.00532,   -0.00639,   -0.01064,   -0.01367,   +0.03369,   +1.02539,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254600106l,   -0.00106,   -0.00532,   -0.01171,   -0.01221,   +0.02832,   +1.02930,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254610688l,   -0.01490,   -0.00532,   -0.00639,   -0.01611,   +0.03076,   +1.02197,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254621267l,   -0.02022,   -0.01171,   -0.00851,   -0.02148,   +0.03271,   +1.01074,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254631852l,   -0.01171,   -0.00958,   -0.01064,   -0.01562,   +0.04053,   +1.00830,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254642435l,   -0.00106,   -0.00639,   -0.00958,   -0.02441,   +0.03467,   +1.01807,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254653015l,   -0.00851,   -0.00958,   -0.00745,   -0.01221,   +0.03516,   +1.02783,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254663549l,   -0.01490,   -0.00958,   -0.00851,   -0.01074,   +0.02783,   +1.03125,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254674107l,   -0.01383,   -0.00958,   -0.00532,   -0.02832,   +0.02979,   +1.03564,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254684653l,   -0.01916,   -0.00745,   -0.01064,   -0.02295,   +0.03076,   +1.02832,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254695198l,   -0.01277,   -0.01809,   -0.00958,   -0.01660,   +0.02832,   +1.01904,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254705745l,   -0.00851,   -0.01383,   -0.00851,   -0.02002,   +0.03125,   +1.02979,  -16.47598,  -28.42559,  +36.49336,   +0.00000,   +0.00000;
 254716290l,   -0.01809,   -0.00958,   -0.00958,   -0.01660,   +0.02686,   +1.03125,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254726838l,   -0.02341,   -0.01064,   -0.00851,   -0.02393,   +0.02686,   +1.03467,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254737384l,   -0.01916,   -0.01171,   -0.00958,   -0.02539,   +0.04150,   +1.01904,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254747961l,   -0.01171,   -0.00958,   -0.00639,   -0.01758,   +0.02246,   +1.01904,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254758504l,   -0.00532,   -0.00958,   -0.00532,   -0.02393,   +0.03418,   +1.02588,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254769052l,   -0.01064,   -0.01171,   -0.00745,   -0.02832,   +0.02930,   +1.02295,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254779598l,   -0.01703,   -0.00639,   -0.00958,   -0.02344,   +0.03271,   +1.02197,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254790144l,   -0.01809,   -0.00213,   -0.00532,   -0.02686,   +0.04004,   +1.01904,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254800687l,   -0.01171,   -0.00851,   -0.01064,   -0.02197,   +0.02930,   +1.02637,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254811235l,   -0.00639,   -0.01171,   -0.00745,   -0.00781,   +0.03223,   +1.04541,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254821781l,   -0.00745,   -0.01064,   -0.00851,   -0.01709,   +0.03467,   +1.01514,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254832329l,   -0.00958,   -0.00745,   -0.00851,   -0.01855,   +0.03906,   +1.03467,  -15.57070,  -29.69297,  +35.62031,   +0.00000,   +0.00000;
 254842872l,   -0.01596,   -0.00319,   -0.00851,   -0.02197,   +0.03027,   +1.01562,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254853421l,   -0.00958,   -0.01171,   -0.00532,   -0.01514,   +0.03418,   +1.02979,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254863968l,   -0.00851,   -0.00745,   -0.00639,   -0.02539,   +0.03027,   +1.03027,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254874515l,   -0.01596,   -0.00958,   -0.01064,   -0.01807,   +0.01807,   +1.01123,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254885059l,   -0.01383,   -0.01064,   -0.00851,   -0.03027,   +0.02832,   +1.02100,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254895604l,   -0.01703,   -0.00319,   -0.00958,   -0.02148,   +0.04346,   +1.02246,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254906129l,   -0.00851,   -0.00958,   -0.01383,   -0.00830,   +0.03027,   +1.03076,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254916672l,   -0.00426,   -0.01916,   -0.00958,   -0.00879,   +0.03369,   +1.01807,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254927217l,   -0.00958,   -0.01171,   -0.01064,   -0.02588,   +0.02930,   +1.02686,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
 254937773l,   -0.01171,   -0.00958,   -0.01171,   -0.01318,   +0.03418,   +1.01904,  -15.38965,  -27.33926,  +36.49336,   +0.00000,   +0.00000;
