Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
3946926764l,   -0.01383,   -0.00745,   -0.00745,   -0.02344,   +0.05029,   +1.01709,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946929837l,   -0.01490,   -0.00958,   -0.01064,   -0.02246,   +0.05566,   +1.01074,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946932880l,   -0.01277,   -0.00426,   -0.00851,   -0.02539,   +0.05225,   +1.02734,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946935923l,   -0.01064,   -0.01171,   -0.00958,   -0.03223,   +0.05078,   +1.02051,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946938966l,   -0.01064,   -0.00958,   -0.00745,   -0.02441,   +0.04443,   +1.02197,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946942038l,   -0.01809,   -0.01064,   -0.00532,   -0.01318,   +0.04492,   +1.02979,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946945079l,   -0.01596,   -0.00851,   -0.00851,   -0.03027,   +0.05713,   +1.02539,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946948120l,   -0.01064,   -0.00532,   -0.00639,   -0.02734,   +0.05176,   +1.02539,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946951162l,   -0.01171,   -0.01171,   -0.00958,   -0.03418,   +0.05176,   +1.01123,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946954206l,   -0.01703,   -0.00213,   -0.00532,   -0.02490,   +0.05371,   +1.01367,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946957248l,   -0.01277,   -0.01171,   -0.01171,   -0.02979,   +0.05225,   +1.01172,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946960290l,   -0.01596,   -0.01064,   -0.01171,   -0.02783,   +0.05566,   +1.03223,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946963332l,   -0.00851,   -0.00851,   -0.01171,   -0.03125,   +0.05859,   +1.02588,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946966375l,   -0.01277,   -0.01064,   -0.00639,   -0.02783,   +0.05273,   +1.03125,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946969417l,   -0.01171,   -0.00532,   -0.01064,   -0.02295,   +0.05664,   +1.01709,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946972458l,   -0.01490,   -0.00851,   -0.00745,   -0.02930,   +0.05322,   +1.03467,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946975500l,   -0.01490,   -0.00426,   -0.00532,   -0.01807,   +0.05371,   +1.03271,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946978542l,   -0.01064,   -0.01064,   -0.01064,   -0.02197,   +0.05273,   +1.01758,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946981596l,   -0.01490,   -0.00426,   -0.00532,   -0.02148,   +0.05713,   +1.00830,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946984639l,   -0.01809,   -0.00745,   -0.01064,   -0.02881,   +0.05176,   +1.03223,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946987680l,   -0.00851,   -0.00851,   -0.00958,   -0.02002,   +0.05420,   +1.03027,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946990722l,   -0.01596,   -0.00958,   -0.00851,   -0.02881,   +0.05420,   +1.02979,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946993765l,   -0.00958,   -0.01490,   -0.01277,   -0.02295,   +0.05615,   +1.01562,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946996808l,   -0.00958,   -0.00745,   -0.00851,   -0.02295,   +0.04980,   +1.02783,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3946999849l,   -0.01490,   -0.01064,   -0.00851,   -0.03320,   +0.05957,   +1.01025,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947002891l,   -0.01383,   -0.00851,   -0.00319,   -0.02783,   +0.04395,   +1.02100,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947005933l,   -0.01596,   -0.00851,   -0.00851,   -0.01709,   +0.05371,   +1.00928,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947008975l,   -0.01171,   -0.00745,   -0.01064,   -0.02979,   +0.05615,   +1.01416,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947012039l,   -0.01277,   -0.01171,   -0.00958,   -0.01514,   +0.05078,   +1.01953,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947015111l,   -0.01171,   -0.00745,   -0.00958,   -0.02295,   +0.05859,   +1.02100,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947018155l,   -0.01277,   -0.00745,   -0.01171,   -0.02783,   +0.06055,   +1.02295,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947021196l,   -0.01916,   -0.00958,   -0.00851,   -0.01514,   +0.05713,   +1.01416,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947024240l,   -0.01064,   -0.00958,   -0.00851,   -0.03320,   +0.05420,   +1.02588,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947027282l,   -0.01490,   -0.00958,   -0.00851,   -0.03125,   +0.05713,   +1.02002,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947030326l,   -0.01277,   -0.01383,   -0.01064,   -0.02930,   +0.04541,   +1.01904,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947033367l,   -0.00639,   -0.00745,   -0.01171,   -0.03320,   +0.05273,   +1.03271,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947036408l,   -0.01490,   -0.00426,   -0.00851,   -0.03076,   +0.04785,   +1.01904,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947039449l,   -0.01383,   -0.01064,   -0.00319,   -0.01367,   +0.04980,   +1.02686,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947042490l,   -0.01703,   -0.00532,   -0.00745,   -0.02051,   +0.05762,   +1.03125,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947045530l,   -0.00851,   -0.01064,   -0.01277,   -0.02490,   +0.05664,   +1.02393,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947048572l,   -0.01064,   -0.01064,   -0.00745,   -0.02148,   +0.05615,   +1.01270,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947051614l,   -0.01490,   -0.01064,   -0.00745,   -0.03223,   +0.05811,   +1.01611,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947054659l,   -0.01809,   -0.01064,   -0.00958,   -0.02588,   +0.06201,   +1.02197,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947057700l,   -0.01277,   -0.00639,   -0.00639,   -0.02539,   +0.05420,   +1.02441,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947060742l,   -0.01277,   -0.01171,   -0.00745,   -0.01416,   +0.05127,   +1.00830,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947063784l,   -0.01064,   -0.01171,   -0.00745,   -0.03174,   +0.05273,   +1.02148,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947066825l,   -0.01383,   -0.01171,   -0.00851,   -0.01807,   +0.04932,   +1.01074,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947069867l,   -0.01277,   -0.00745,   -0.00532,   -0.02734,   +0.05371,   +1.02148,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947072910l,   -0.01383,   -0.01064,   -0.01171,   -0.02930,   +0.06396,   +1.02734,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947075951l,   -0.01277,   -0.00745,   -0.00745,   -0.02881,   +0.05566,   +1.02100,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947078992l,   -0.01171,   -0.00745,   -0.00958,   -0.02734,   +0.05127,   +1.01562,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947082065l,   -0.01277,   -0.00851,   -0.00851,   -0.02881,   +0.04541,   +1.02002,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947085108l,   -0.01171,   -0.00745,   -0.00745,   -0.01611,   +0.05811,   +1.02051,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947088150l,   -0.00958,   -0.00532,   -0.01171,   -0.02930,   +0.04834,   +1.00977,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947091192l,   -0.01490,   -0.01064,   -0.01064,   -0.02393,   +0.06201,   +1.02783,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947094233l,   -0.01171,   -0.00851,   -0.01171,   -0.02344,   +0.05908,   +1.02490,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947097276l,   -0.00745,   -0.00532,   -0.01064,   -0.01904,   +0.04395,   +1.02979,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947100349l,   -0.01383,   -0.01383,   -0.00639,   -0.02930,   +0.05322,   +1.02734,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947103392l,   -0.00851,   -0.01490,   -0.01171,   -0.02100,   +0.05371,   +1.02246,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947106433l,   -0.01490,   -0.00639,   -0.00851,   -0.02783,   +0.05225,   +1.00732,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947109475l,   -0.00851,   -0.01383,   -0.00745,   -0.02441,   +0.05225,   +1.00732,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947112517l,   -0.01171,   -0.00745,   -0.00532,   -0.02783,   +0.05859,   +1.02002,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947115559l,   -0.00958,   -0.00745,   -0.01064,   -0.01660,   +0.05518,   +1.01611,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947118601l,   -0.01703,   -0.01171,   -0.00532,   -0.02930,   +0.05273,   +1.03076,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947121618l,   -0.01490,   -0.01277,   -0.00532,   -0.02246,   +0.06152,   +1.03711,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947124662l,   -0.01064,   -0.00639,   -0.01064,   -0.03271,   +0.04688,   +1.01416,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947127703l,   -0.01277,   -0.01064,   -0.00745,   -0.02197,   +0.05420,   +1.01855,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947130743l,   -0.01171,   -0.00958,   -0.00958,   -0.02441,   +0.05029,   +1.03857,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947133786l,   -0.01171,   -0.01277,   -0.00851,   -0.01562,   +0.04834,   +1.03271,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947136828l,   -0.00639,   -0.00958,   -0.00851,   -0.02588,   +0.05420,   +1.03076,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947139870l,   -0.01171,   -0.01171,   -0.01064,   -0.02246,   +0.05127,   +1.01807,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947142912l,   -0.01171,   -0.00851,   -0.00745,   -0.02344,   +0.05322,   +1.02295,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947145955l,   -0.01064,   -0.01064,   -0.01277,   -0.02832,   +0.05225,   +1.01416,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947148997l,   -0.01064,   -0.00958,   -0.00745,   -0.02734,   +0.05615,   +1.02588,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947152068l,   -0.01277,   -0.01171,   -0.01277,   -0.02295,   +0.05322,   +1.02051,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947155111l,   -0.01277,   -0.00851,   -0.00958,   -0.02295,   +0.05518,   +1.02051,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947158153l,   -0.01703,   -0.00639,   -0.01383,   -0.02979,   +0.05615,   +1.00879,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947161193l,   -0.01171,   -0.01064,   -0.01064,   -0.02588,   +0.06348,   +1.02979,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947164237l,   -0.00745,   -0.01064,   -0.01277,   -0.02246,   +0.04932,   +1.02393,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947167278l,   -0.01383,   -0.00745,   -0.00532,   -0.02197,   +0.06104,   +1.03320,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
3947170320l,   -0.01596,   -0.00745,   -0.00958,   -0.02490,   +0.05957,   +1.01855,  -17.38125,  -30.05508,  +37.01719,   +0.00000,   +0.00000;
